vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
4 120 120 373 343 30 yes
31 111 20 373 363 10 yes
23 33 33 374 364 10 yes
51 143 10 375 375 0 yes
63 4 79 375 375 0 yes
5 4 77 375 370 5 yes
71 160 94 376 371 5 yes
28 61 78 376 356 20 yes
8 16 9 377 362 15 yes
64 145 4 377 377 0 yes
25 69 70 377 372 5 yes
69 60 78 377 377 0 yes
72 168 6 378 378 0 yes
73 163 33 378 378 0 yes
17 28 28 378 363 15 yes
74 168 144 379 379 0 yes
55 56 51 379 359 20 yes
75 166 47 380 380 0 yes
76 161 101 380 370 10 yes
38 4 6 380 365 15 yes
12 4 15 380 355 25 yes
7 71 60 380 355 25 yes
66 97 39 380 375 5 yes
75 47 9 380 380 0 yes
78 160 123 381 376 5 yes
22 17 17 381 381 0 yes
62 103 6 381 376 5 yes
20 49 49 381 366 15 yes
29 1 124 383 373 10 yes
18 4 4 383 368 15 yes
44 27 28 384 384 0 yes
16 10 96 385 385 0 yes
11 20 27 385 360 25 yes
1 39 39 385 370 15 yes
36 29 29 385 375 10 yes
65 14 64 385 375 10 yes
67 18 16 385 385 0 yes
16 96 96 385 375 10 yes
59 139 141 386 376 10 yes
57 0 109 387 377 10 yes
23 33 34 388 378 10 yes
63 79 79 388 388 0 yes
58 60 61 389 379 10 yes
14 47 47 389 379 10 yes
48 35 35 389 384 5 yes
79 165 43 390 390 0 yes
60 6 23 390 385 5 yes
70 6 53 390 385 5 yes
72 6 75 390 390 0 yes
73 33 46 390 390 0 yes
78 123 10 390 385 5 yes
63 79 6 390 390 0 yes
79 43 32 390 385 5 yes
26 46 46 392 377 15 yes
80 161 74 393 388 5 yes
6 9 19 393 378 15 yes
5 77 25 393 378 15 yes
8 9 9 393 368 25 yes
81 168 145 394 394 0 yes
50 18 18 394 394 0 yes
82 9 1 395 395 0 yes
35 2 108 395 370 25 yes
54 15 15 395 385 10 yes
3 5 5 395 380 15 yes
24 109 0 395 390 5 yes
27 67 6 395 370 25 yes
34 133 68 395 380 15 yes
71 94 95 395 390 5 yes
38 6 6 395 375 20 yes
82 1 1 396 391 5 yes
28 78 78 397 377 20 yes
20 49 32 397 372 25 yes
48 35 6 397 392 5 yes
37 16 33 398 383 15 yes
19 85 71 398 373 25 yes
68 75 4 399 389 10 yes
41 9 75 400 385 15 yes
33 43 51 400 385 15 yes
13 47 47 400 380 20 yes
31 20 20 400 385 15 yes
64 4 4 400 395 5 yes
36 29 30 400 390 10 yes
14 47 48 400 380 20 yes
80 74 6 400 395 5 yes
52 55 49 401 391 10 yes
40 1 1 401 396 5 yes
17 28 27 402 387 15 yes
82 1 10 402 392 10 yes
83 160 46 403 398 5 yes
76 101 16 403 393 10 yes
66 39 4 403 398 5 yes
50 18 17 403 403 0 yes
84 163 1 404 399 5 yes
21 53 53 404 384 20 yes
63 6 29 404 399 5 yes
71 95 131 404 394 10 yes
18 4 12 405 390 15 yes
85 169 126 406 406 0 yes
10 0 1 407 407 0 yes
4 120 6 407 377 30 yes
