vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
1 167 114 251 251 0 yes
2 162 23 256 256 0 yes
1 114 29 265 265 0 yes
3 168 5 270 270 0 yes
4 161 18 273 273 0 yes
5 163 131 274 274 0 yes
6 160 22 276 276 0 yes
7 164 60 278 278 0 yes
6 22 0 280 280 0 yes
8 166 101 281 281 0 yes
7 60 71 283 283 0 yes
2 23 9 285 285 0 yes
4 18 16 288 288 0 yes
10 160 143 289 289 0 yes
11 165 20 290 290 0 yes
12 168 135 290 290 0 yes
11 20 21 290 290 0 yes
13 166 23 291 291 0 yes
14 163 9 291 291 0 yes
6 0 1 292 292 0 yes
15 168 136 295 295 0 yes
16 163 1 295 295 0 yes
3 5 16 295 295 0 yes
12 135 4 295 295 0 yes
17 165 27 296 296 0 yes
18 168 80 298 298 0 yes
19 162 71 300 300 0 yes
10 143 10 300 300 0 yes
13 23 7 300 300 0 yes
14 9 19 303 303 0 yes
20 162 32 304 304 0 yes
15 136 137 305 305 0 yes
11 21 111 307 307 0 yes
16 1 31 307 307 0 yes
15 137 112 307 307 0 yes
11 111 111 307 307 0 yes
21 162 53 308 308 0 yes
19 71 72 308 308 0 yes
15 112 112 308 308 0 yes
11 111 20 308 308 0 yes
15 112 6 309 309 0 yes
1 29 97 310 310 0 yes
22 168 33 313 313 0 yes
23 160 114 313 313 0 yes
5 131 9 313 313 0 yes
24 160 0 315 315 0 yes
18 80 29 315 315 0 yes
25 162 104 316 316 0 yes
8 101 16 317 317 0 yes
26 163 29 318 318 0 yes
27 168 4 318 318 0 yes
13 7 4 319 319 0 yes
15 6 6 320 320 0 yes
1 97 97 321 321 0 yes
1 97 39 322 322 0 yes
28 168 107 323 323 0 yes
12 4 4 323 323 0 yes
29 162 66 324 324 0 yes
17 27 28 324 324 0 yes
21 53 4 325 325 0 yes
11 20 27 325 325 0 yes
22 33 17 325 325 0 yes
18 29 29 325 325 0 yes
30 163 8 326 326 0 yes
6 1 9 326 326 0 yes
23 114 29 326 326 0 yes
31 165 20 327 327 0 yes
25 104 69 327 327 0 yes
6 9 9 327 327 0 yes
31 20 21 327 327 0 yes
4 16 120 328 328 0 yes
20 32 82 328 328 0 yes
3 16 3 329 329 0 yes
32 166 134 330 330 0 yes
33 162 32 330 330 0 yes
2 9 1 330 330 0 yes
24 0 109 330 330 0 yes
26 29 46 330 330 0 yes
27 4 12 330 330 0 yes
15 6 24 330 330 0 yes
12 4 15 330 330 0 yes
29 66 1 330 330 0 yes
18 29 4 330 330 0 yes
2 1 1 331 331 0 yes
34 169 126 332 332 0 yes
35 161 74 333 333 0 yes
36 168 6 333 333 0 yes
37 161 18 333 333 0 yes
6 9 19 333 333 0 yes
4 120 120 333 333 0 yes
38 168 145 334 334 0 yes
39 162 32 334 334 0 yes
3 3 3 335 335 0 yes
35 74 2 335 335 0 yes
40 160 22 336 336 0 yes
41 166 23 336 336 0 yes
42 167 116 337 337 0 yes
43 160 96 337 337 0 yes
4 120 6 337 337 0 yes
7 71 71 338 338 0 yes
13 4 1 338 338 0 yes
44 162 28 339 339 0 yes
31 21 111 339 339 0 yes
31 111 111 339 339 0 yes
16 31 10 340 340 0 yes
1 39 39 340 340 0 yes
27 12 67 340 340 0 yes
40 22 0 340 340 0 yes
7 71 60 340 340 0 yes
27 67 6 340 340 0 yes
45 25 4 341 341 0 yes
46 167 41 342 342 0 yes
47 160 46 343 343 0 yes
48 168 147 343 343 0 yes
49 165 51 343 343 0 yes
50 163 33 343 343 0 yes
32 134 47 343 343 0 yes
13 1 1 343 343 0 yes
2 1 154 344 344 0 yes
3 3 4 344 344 0 yes
51 163 143 345 345 0 yes
10 10 10 345 345 0 yes
34 126 8 345 345 0 yes
36 6 80 345 345 0 yes
41 23 9 345 345 0 yes
