vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
1 167 114 251 241 10 yes
2 162 23 256 251 5 yes
3 168 5 270 265 5 yes
4 161 18 273 268 5 yes
5 163 131 274 264 10 yes
1 114 29 275 265 10 yes
6 160 22 276 271 5 yes
7 164 60 278 273 5 yes
8 166 101 281 276 5 yes
6 22 0 285 280 5 yes
7 60 71 288 273 15 yes
10 160 143 289 279 10 yes
11 165 20 290 280 10 yes
12 168 135 290 280 10 yes
2 23 9 290 280 10 yes
13 166 23 291 286 5 yes
14 163 9 291 281 10 yes
4 18 16 293 278 15 yes
15 168 136 295 290 5 yes
16 163 1 295 295 0 yes
17 165 27 296 296 0 yes
18 168 80 298 298 0 yes
19 162 71 300 295 5 yes
3 5 16 300 285 15 yes
11 20 21 300 285 15 yes
6 0 1 302 287 15 yes
20 162 32 304 299 5 yes
12 135 4 305 290 15 yes
13 23 7 305 295 10 yes
16 1 31 307 307 0 yes
21 162 53 308 308 0 yes
10 143 10 310 300 10 yes
15 136 137 310 295 15 yes
22 168 33 313 303 10 yes
23 160 114 313 303 10 yes
14 9 19 313 293 20 yes
19 71 72 313 303 10 yes
24 160 0 315 310 5 yes
18 80 29 315 315 0 yes
25 162 104 316 316 0 yes
26 163 29 318 313 5 yes
27 168 4 318 318 0 yes
8 101 16 322 312 10 yes
28 168 107 323 323 0 yes
5 131 9 323 313 10 yes
29 162 66 324 324 0 yes
17 27 28 324 324 0 yes
21 53 4 325 325 0 yes
18 29 29 325 325 0 yes
30 163 8 326 316 10 yes
31 165 20 327 327 0 yes
15 137 112 327 312 15 yes
25 104 69 327 317 10 yes
31 20 21 327 322 5 yes
32 166 134 330 325 5 yes
33 162 32 330 320 10 yes
1 29 97 330 320 10 yes
27 4 12 330 330 0 yes
29 66 1 330 330 0 yes
18 29 4 330 320 10 yes
34 169 126 332 322 10 yes
11 21 111 332 307 25 yes
35 161 74 333 328 5 yes
36 168 6 333 323 10 yes
37 161 18 333 328 5 yes
20 32 82 333 323 10 yes
38 168 145 334 334 0 yes
39 162 32 334 334 0 yes
13 7 4 334 314 20 yes
22 33 17 335 325 10 yes
24 0 109 335 330 5 yes
26 29 46 335 320 15 yes
40 160 22 336 336 0 yes
41 166 23 336 336 0 yes
23 114 29 336 316 20 yes
42 167 116 337 337 0 yes
43 160 96 337 327 10 yes
44 162 28 339 329 10 yes
16 31 10 340 335 5 yes
27 12 67 340 340 0 yes
35 74 2 340 335 5 yes
40 22 0 340 335 5 yes
27 67 6 340 335 5 yes
45 25 4 341 331 10 yes
46 167 41 342 342 0 yes
47 160 46 343 343 0 yes
48 168 147 343 338 5 yes
49 165 51 343 343 0 yes
50 163 33 343 343 0 yes
15 112 112 343 323 20 yes
31 21 111 344 339 5 yes
51 163 143 345 335 10 yes
2 9 1 345 325 20 yes
41 23 9 345 335 10 yes
38 145 4 347 337 10 yes
42 116 9 347 342 5 yes
47 46 33 347 347 0 yes
52 163 6 348 338 10 yes
53 163 29 348 338 10 yes
54 163 4 348 338 10 yes
55 165 56 348 338 10 yes
4 16 120 348 328 20 yes
12 4 4 348 323 25 yes
28 107 61 348 348 0 yes
32 134 47 348 343 5 yes
56 168 1 349 349 0 yes
3 16 3 349 334 15 yes
31 111 111 349 339 10 yes
6 1 9 351 336 15 yes
