vehID;Standort;Dep/Arr;Uhrzeit(Soll);umlaufstatus(Depot/Umlauf);Uhrzeit(Ist);Spalte1;Spalte2
3;6;1;620;1;635;;
3;6;0;620;1;635;;
3;29;1;620;1;640;;
3;29;0;620;1;640;;
3;29;1;630;1;640;;
3;29;0;630;1;640;;
3;4;1;652;1;662;;
3;4;0;652;1;662;;
3;4;1;660;1;662;;
3;4;0;660;1;662;;
3;6;1;680;1;687;;
3;6;0;680;1;687;;
3;1;1;684;1;696;;
3;1;0;684;1;696;;
3;1;1;704;1;696;;
3;1;0;704;1;704;;
3;82;1;760;1;765;;
3;82;0;760;1;765;;
3;66;1;760;1;765;;
3;66;0;760;1;765;;
3;66;1;764;1;765;;
3;66;0;764;1;765;;
3;1;1;817;1;828;;
3;1;0;817;1;828;;
3;87;1;822;1;843;;
3;87;0;822;1;843;;
3;87;1;825;1;843;;
3;87;0;825;1;843;;
3;87;1;840;1;858;;
3;87;0;840;1;858;;
3;168;1;851;0;874;;
4;161;0;273;1;273;;
4;18;1;288;1;298;;
4;18;0;288;1;298;;
4;16;1;328;1;338;;
4;16;0;328;1;338;;
4;120;1;333;1;343;;
4;120;0;333;1;343;;
4;120;1;337;1;343;;
4;120;0;337;1;343;;
4;6;1;350;1;356;;
4;6;0;350;1;356;;
4;5;1;373;1;379;;
4;5;0;373;1;379;;
4;5;1;375;1;379;;
4;5;0;375;1;379;;
4;6;1;415;1;424;;
4;6;0;415;1;424;;
4;29;1;415;1;424;;
4;29;0;415;1;424;;
4;29;1;420;1;424;;
4;29;0;420;1;424;;
4;135;1;430;1;439;;
4;135;0;430;1;439;;
4;4;1;460;1;479;;
4;4;0;460;1;479;;
4;33;1;465;1;484;;
4;33;0;465;1;484;;
4;33;1;475;1;484;;
4;33;0;475;1;484;;
4;18;1;522;1;531;;
4;18;0;522;1;531;;
4;161;1;537;0;556;;
4;161;0;815;1;815;;
4;101;1;828;1;833;;
4;101;0;828;1;833;;
4;16;1;868;1;873;;
4;16;0;868;1;873;;
4;1;1;868;1;873;;
4;1;0;868;1;873;;
4;77;1;878;1;893;;
4;77;0;878;1;893;;
4;77;1;880;1;893;;
4;77;0;880;1;893;;
4;6;1;894;1;912;;
4;6;0;894;1;912;;
4;6;1;895;1;912;;
4;6;0;895;1;912;;
4;53;1;924;1;946;;
4;53;0;924;1;946;;
4;53;1;925;1;946;;
4;53;0;925;1;946;;
4;4;1;955;1;981;;
