vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
32 1 134 0 343 353 / 10
37 1 18 1 348 353 5 5
37 1 18 0 348 353 / 5
31 1 21 1 339 354 10 15
31 1 21 0 339 354 / 15
15 1 6 1 320 354 10 34
15 1 6 2 320 354 / 34
15 1 6 2 330 354 0 24
15 1 6 0 330 354 / 24
59 1 160 0 355 355 / 0
16 1 31 1 340 355 10 15
16 1 31 0 340 355 / 15
36 1 6 1 345 355 10 10
36 1 6 0 345 355 / 10
41 1 23 1 345 355 10 10
41 1 23 0 345 355 / 10
45 1 6 1 805 355 5 10
45 1 6 2 805 355 / 10
45 1 6 2 810 355 0 5
45 1 6 0 810 355 / 5
2 1 1 1 331 356 10 25
2 1 1 2 331 356 / 25
2 1 1 2 344 356 0 12
2 1 1 0 344 356 / 12
19 1 72 1 347 357 5 10
19 1 72 0 347 357 / 10
38 1 145 1 347 357 10 10
38 1 145 0 347 357 / 10
42 1 116 1 347 357 10 10
42 1 116 0 347 357 / 10
44 1 28 1 347 357 10 10
44 1 28 0 347 357 / 10
6 1 9 1 327 357 5 30
6 1 9 2 327 357 / 30
6 1 9 2 333 357 0 24
6 1 9 0 333 357 / 24
13 1 4 1 338 358 5 20
13 1 4 0 338 358 / 20
4 1 120 1 333 358 10 25
4 1 120 2 333 358 / 25
4 1 120 2 337 358 0 21
4 1 120 0 337 358 / 21
1 1 39 1 340 359 5 19
1 1 39 2 340 359 / 19
31 1 111 1 339 359 5 20
31 1 111 2 339 359 / 20
1 1 39 2 355 359 0 4
1 1 39 0 355 359 / 4
31 1 111 2 353 359 0 6
31 1 111 0 353 359 / 6
60 1 168 0 360 360 / 0
10 1 10 1 345 360 5 15
10 1 10 2 345 360 / 15
27 1 12 1 340 360 10 20
27 1 12 0 340 360 / 20
49 1 51 1 355 360 5 5
49 1 51 0 355 360 / 5
3 1 3 1 335 360 10 25
3 1 3 2 335 360 / 25
3 1 3 2 344 360 0 16
3 1 3 0 344 360 / 16
10 1 10 2 361 361 0 0
10 1 10 0 361 361 / 0
61 1 162 0 362 362 / 0
62 1 168 0 362 362 / 0
19 1 85 1 347 362 5 15
19 1 85 2 347 362 / 15
19 1 85 2 358 362 0 4
19 1 85 0 358 362 / 4
63 1 168 0 363 363 / 0
14 1 19 1 348 363 10 15
14 1 19 0 348 363 / 15
39 1 32 1 358 363 5 5
39 1 32 0 358 363 / 5
48 1 147 1 353 363 10 10
48 1 147 0 353 363 / 10
64 1 168 0 364 364 / 0
30 1 8 1 359 364 5 5
30 1 8 0 359 364 / 5
33 1 32 1 354 364 10 10
33 1 32 0 354 364 / 10
50 1 33 1 355 365 10 10
50 1 33 0 355 365 / 10
54 1 4 1 360 365 5 5
54 1 4 0 360 365 / 5
27 1 67 1 340 365 5 25
27 1 67 0 340 365 / 25
13 1 1 1 343 368 5 25
13 1 1 2 343 368 / 25
13 1 1 2 345 368 0 23
13 1 1 0 345 368 / 23
65 1 168 0 370 370 / 0
66 1 168 0 370 370 / 0
67 1 161 0 370 370 / 0
43 1 96 1 360 370 10 10
43 1 96 0 360 370 / 10
52 1 6 1 360 370 10 10
52 1 6 0 360 370 / 10
53 1 29 1 360 370 10 10
53 1 29 0 360 370 / 10
36 1 80 1 355 370 5 15
36 1 80 2 355 370 / 15
36 1 80 2 357 370 0 13
36 1 80 0 357 370 / 13
68 1 168 0 371 371 / 0
5 1 9 1 356 371 5 15
5 1 9 0 356 371 / 15
46 1 41 1 361 371 10 10
46 1 41 0 361 371 / 10
56 1 1 1 361 371 10 10
56 1 1 0 361 371 / 10
28 1 61 1 356 371 10 15
28 1 61 0 356 371 / 15
69 1 164 0 372 372 / 0
8 1 16 1 357 372 10 15
8 1 16 0 357 372 / 15
12 1 15 1 359 372 5 13
12 1 15 2 359 372 / 13
40 1 0 1 352 372 10 20
40 1 0 0 352 372 / 20
60 1 120 1 367 372 5 5
60 1 120 0 367 372 / 5
12 1 15 2 360 372 0 12
12 1 15 0 360 372 / 12
70 1 168 0 373 373 / 0
34 1 8 1 359 374 10 15
34 1 8 2 359 374 / 15
34 1 8 2 360 374 0 14
34 1 8 0 360 374 / 14
21 1 4 1 355 375 10 20
21 1 4 0 355 375 / 20
71 1 160 0 376 376 / 0
4 1 6 1 350 376 5 26
4 1 6 0 350 376 / 26
28 1 78 1 357 377 5 20
28 1 78 2 357 377 / 20
28 1 78 2 366 377 0 11
28 1 78 0 366 377 / 11
72 1 168 0 378 378 / 0
73 1 163 0 378 378 / 0
18 1 4 1 353 378 10 25
18 1 4 2 353 378 / 25
32 1 47 1 363 378 5 15
32 1 47 2 363 378 / 15
3 1 4 1 357 378 5 21
3 1 4 2 357 378 / 21
8 1 9 1 358 378 5 20
8 1 9 2 358 378 / 20
18 1 4 2 360 378 0 18
18 1 4 0 360 378 / 18
32 1 47 2 365 378 0 13
32 1 47 0 365 378 / 13
3 1 4 2 360 378 0 18
3 1 4 0 360 378 / 18
8 1 9 2 363 378 0 15
8 1 9 0 363 378 / 15
74 1 168 0 379 379 / 0
20 1 82 1 369 379 5 10
20 1 82 0 369 379 / 10
55 1 56 1 369 379 10 10
55 1 56 0 369 379 / 10
75 1 166 0 380 380 / 0
76 1 161 0 380 380 / 0
25 1 69 1 365 380 10 15
25 1 69 2 365 380 / 15
51 1 143 1 375 380 5 5
51 1 143 0 375 380 / 5
61 1 71 1 370 380 10 10
61 1 71 0 370 380 / 10
63 1 4 1 375 380 5 5
63 1 4 0 375 380 / 5
21 1 6 1 355 380 5 25
21 1 6 0 355 380 / 25
25 1 69 2 377 380 0 3
25 1 69 0 377 380 / 3
78 1 160 0 381 381 / 0
15 1 24 1 352 381 5 29
15 1 24 2 352 381 / 29
31 1 20 1 370 381 5 11
31 1 20 2 370 381 / 11
15 1 24 2 357 381 0 24
15 1 24 0 357 381 / 24
57 1 0 1 377 382 5 5
57 1 0 0 377 382 / 5
64 1 145 1 377 382 5 5
64 1 145 0 377 382 / 5
69 1 60 1 377 382 5 5
69 1 60 0 377 382 / 5
17 1 28 1 368 383 5 15
17 1 28 2 368 383 / 15
17 1 28 2 377 383 0 6
17 1 28 0 377 383 / 6
23 1 29 1 370 385 10 15
23 1 29 0 370 385 / 15
48 1 30 1 370 385 5 15
48 1 30 0 370 385 / 15
27 1 6 1 355 385 5 30
27 1 6 0 355 385 / 30
65 1 14 1 380 385 5 5
65 1 14 0 380 385 / 5
66 1 97 1 380 385 5 5
66 1 97 0 380 385 / 5
5 1 4 1 360 385 10 25
5 1 4 0 360 385 / 25
75 1 47 1 380 385 5 5
75 1 47 0 380 385 / 5
59 1 139 1 376 386 10 10
59 1 139 0 376 386 / 10
45 1 75 1 836 386 5 10
45 1 75 2 836 386 / 10
20 1 49 1 371 386 5 15
20 1 49 2 371 386 / 15
45 1 75 2 839 386 0 7
45 1 75 0 839 386 / 7
20 1 49 2 372 386 0 14
20 1 49 0 372 386 / 14
11 1 27 1 353 387 10 34
11 1 27 2 353 387 / 34
1 1 40 1 378 387 5 9
1 1 40 0 378 387 / 9
31 1 20 2 387 387 0 0
31 1 20 0 387 387 / 0
11 1 27 2 354 387 0 33
11 1 27 0 354 387 / 33
24 1 109 1 368 388 10 20
24 1 109 2 368 388 / 20
79 1 165 0 390 390 / 0
35 1 2 1 375 390 10 15
35 1 2 0 375 390 / 15
38 1 4 1 370 390 10 20
38 1 4 0 370 390 / 20
60 1 6 1 380 390 5 10
60 1 6 0 380 390 / 10
62 1 103 1 381 391 10 10
62 1 103 0 381 391 / 10
26 1 46 1 382 392 5 10
26 1 46 2 382 392 / 10
14 1 134 1 367 392 10 25
14 1 134 2 367 392 / 25
1 1 102 1 378 392 5 14
1 1 102 2 378 392 / 14
26 1 46 2 385 392 0 7
26 1 46 0 385 392 / 7
14 1 134 2 369 392 0 23
14 1 134 0 369 392 / 23
1 1 102 2 380 392 0 12
1 1 102 0 380 392 / 12
80 1 161 0 393 393 / 0
29 1 1 1 383 393 5 10
29 1 1 0 383 393 / 10
36 1 29 1 370 393 10 23
36 1 29 2 370 393 / 23
36 1 29 2 375 393 0 18
36 1 29 0 375 393 / 18
81 1 168 0 394 394 / 0
23 1 33 1 374 394 5 20
23 1 33 2 374 394 / 20
23 1 33 2 378 394 0 16
23 1 33 0 378 394 / 16
82 1 9 0 718 395 / 0
67 1 18 1 385 395 10 10
67 1 18 0 385 395 / 10
70 1 6 1 385 395 10 10
70 1 6 0 385 395 / 10
71 1 94 1 390 395 5 5
71 1 94 0 390 395 / 5
72 1 6 1 390 395 5 5
72 1 6 0 390 395 / 5
78 1 123 1 385 395 10 10
78 1 123 0 385 395 / 10
27 1 29 1 355 395 10 40
27 1 29 2 355 395 / 40
24 1 109 2 395 395 0 0
24 1 109 0 395 395 / 0
27 1 29 2 360 395 0 35
27 1 29 0 360 395 / 35
22 1 17 1 381 396 10 15
22 1 17 2 381 396 / 15
19 1 71 1 384 398 10 14
19 1 71 0 384 398 / 14
18 1 12 1 370 398 10 28
18 1 12 0 370 398 / 28
76 1 101 1 393 398 5 5
76 1 101 0 393 398 / 5
63 1 79 1 388 398 5 10
63 1 79 2 388 398 / 10
63 1 79 2 390 398 0 8
63 1 79 0 390 398 / 8
58 1 60 1 389 399 10 10
58 1 60 0 389 399 / 10
68 1 75 1 389 399 10 10
