vehID Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
14 19 348 358 0 10
60 168 360 360 0 0
49 51 355 360 5 5
49 51 355 360 0 5
3 3 335 360 10 25
3 3 335 360 0 25
53 29 360 360 0 0
53 29 360 360 0 0
45 6 805 360 10 15
45 6 805 360 0 15
3 3 344 360 0 16
3 3 344 360 0 16
45 6 810 360 0 10
45 6 810 360 0 10
46 41 361 361 0 0
46 41 361 361 0 0
28 61 356 361 5 5
28 61 356 361 0 5
56 1 361 361 0 0
56 1 361 361 0 0
61 162 362 362 0 0
62 168 362 362 0 0
19 72 347 362 10 15
19 72 347 362 0 15
63 168 363 363 0 0
39 32 358 363 5 5
39 32 358 363 0 5
18 4 353 363 0 10
18 4 353 363 0 10
18 4 360 363 0 3
18 4 360 363 0 3
64 168 364 364 0 0
10 10 345 365 10 20
10 10 345 365 0 20
36 80 355 365 10 10
36 80 355 365 0 10
54 4 360 365 5 5
54 4 360 365 0 5
21 6 355 365 10 10
21 6 355 365 0 10
10 10 361 365 0 4
10 10 361 365 0 4
36 80 357 365 0 8
36 80 357 365 0 8
5 9 356 366 0 10
5 9 356 366 0 10
15 24 352 366 0 14
15 24 352 366 0 14
15 24 357 366 0 9
15 24 357 366 0 9
8 16 357 367 5 10
8 16 357 367 0 10
19 85 347 367 5 20
19 85 347 367 0 20
19 85 358 367 0 9
19 85 358 367 0 9
8 9 358 368 0 10
8 9 358 368 0 10
8 9 363 368 0 5
8 9 363 368 0 5
30 8 359 369 10 10
30 8 359 369 0 10
1 39 340 369 10 29
1 39 340 369 0 29
34 8 359 369 5 10
34 8 359 369 0 10
1 39 355 369 0 14
1 39 355 369 0 14
34 8 360 369 0 9
34 8 360 369 0 9
65 168 370 370 0 0
66 168 370 370 0 0
67 161 370 370 0 0
43 96 360 370 10 10
43 96 360 370 0 10
52 6 360 370 10 10
52 6 360 370 0 10
27 6 355 370 5 15
27 6 355 370 0 15
48 30 370 370 0 0
48 30 370 370 0 0
5 4 360 370 0 10
5 4 360 370 0 10
27 29 355 370 0 15
27 29 355 370 0 15
27 29 360 370 0 10
27 29 360 370 0 10
68 168 371 371 0 0
69 164 372 372 0 0
12 15 359 372 0 13
12 15 359 372 0 13
40 0 352 372 10 20
40 0 352 372 0 20
60 120 367 372 5 5
60 120 367 372 0 5
28 78 357 372 10 15
28 78 357 372 0 15
12 15 360 372 0 12
12 15 360 372 0 12
28 78 366 372 0 6
28 78 366 372 0 6
70 168 373 373 0 0
32 47 363 373 10 10
32 47 363 373 0 10
