vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
15 24 1 357 1
15 24 0 357 1
36 80 1 357 1
36 80 0 357 1
28 78 1 357 1
28 78 0 357 1
39 32 1 358 1
39 32 0 358 1
19 85 1 358 1
19 85 0 358 1
8 9 1 358 1
8 9 0 358 1
30 8 1 359 1
30 8 0 359 1
12 15 1 359 1
12 15 0 359 1
34 8 1 359 1
34 8 0 359 1
60 168 0 360 1
43 96 1 360 1
43 96 0 360 1
52 6 1 360 1
52 6 0 360 1
53 29 1 360 1
53 29 0 360 1
54 4 1 360 1
54 4 0 360 1
18 4 1 360 1
18 4 0 360 1
27 29 1 360 1
27 29 0 360 1
5 4 1 360 1
5 4 0 360 1
3 4 1 360 1
3 4 0 360 1
12 15 1 360 1
12 15 0 360 1
34 8 1 360 1
34 8 0 360 1
46 41 1 361 1
46 41 0 361 1
10 10 1 361 1
10 10 0 361 1
56 1 1 361 1
56 1 0 361 1
61 162 0 362 1
62 168 0 362 1
63 168 0 363 1
32 47 1 363 1
32 47 0 363 1
8 9 1 363 1
8 9 0 363 1
64 168 0 364 1
25 69 1 365 1
25 69 0 365 1
32 47 1 365 1
32 47 0 365 1
28 78 1 366 1
28 78 0 366 1
14 134 1 367 1
14 134 0 367 1
60 120 1 367 1
60 120 0 367 1
17 28 1 368 1
17 28 0 368 1
24 109 1 368 1
24 109 0 368 1
20 82 1 369 1
20 82 0 369 1
55 56 1 369 1
55 56 0 369 1
14 134 1 369 1
14 134 0 369 1
65 168 0 370 1
66 168 0 370 1
67 161 0 370 1
23 29 1 370 1
23 29 0 370 1
38 4 1 370 1
38 4 0 370 1
31 20 1 370 1
31 20 0 370 1
48 30 1 370 1
48 30 0 370 1
36 29 1 370 1
36 29 0 370 1
18 12 1 370 1
18 12 0 370 1
61 71 1 370 1
61 71 0 370 1
38 6 1 370 1
38 6 0 370 1
18 67 1 370 1
18 67 0 370 1
68 168 0 371 1
20 49 1 371 1
20 49 0 371 1
69 164 0 372 1
20 49 1 372 1
20 49 0 372 1
70 168 0 373 1
4 5 1 373 1
4 5 0 373 1
5 77 1 373 1
5 77 0 373 1
23 33 1 374 1
23 33 0 374 1
35 2 1 375 1
35 2 0 375 1
51 143 1 375 1
51 143 0 375 1
13 47 1 375 1
13 47 0 375 1
63 4 1 375 1
63 4 0 375 1
36 29 1 375 1
36 29 0 375 1
38 6 1 375 1
38 6 0 375 1
4 5 1 375 1
4 5 0 375 1
71 160 0 376 1
45 75 1 376 1
45 75 0 376 1
59 139 1 376 1
59 139 0 376 1
57 0 1 377 1
57 0 0 377 1
64 145 1 377 1
64 145 0 377 1
25 69 1 377 1
25 69 0 377 1
17 28 1 377 1
17 28 0 377 1
69 60 1 377 1
69 60 0 377 1
72 168 0 378 1
73 163 0 378 1
6 19 1 378 1
6 19 0 378 1
1 40 1 378 1
1 40 0 378 1
23 33 1 378 1
23 33 0 378 1
1 102 1 378 1
1 102 0 378 1
74 168 0 379 1
45 75 1 379 1
45 75 0 379 1
75 166 0 380 1
76 161 0 380 1
34 133 1 380 1
34 133 0 380 1
60 6 1 380 1
60 6 0 380 1
65 14 1 380 1
65 14 0 380 1
66 97 1 380 1
66 97 0 380 1
1 102 1 380 1
1 102 0 380 1
75 47 1 380 1
75 47 0 380 1
78 160 0 381 1
22 17 1 381 1
22 17 0 381 1
62 103 1 381 1
62 103 0 381 1
26 46 1 382 1
26 46 0 382 1
29 1 1 383 1
29 1 0 383 1
27 4 1 383 1
27 4 0 383 1
44 27 1 384 1
44 27 0 384 1
21 53 1 384 1
